DATE;TIME;LOAD
9/1/2017;8;6244.93
9/1/2017;9;6951.41
9/1/2017;10;7608.46
9/1/2017;11;7962.56
9/1/2017;12;8159.57
9/1/2017;13;8225.3
9/1/2017;14;8300.48
9/1/2017;15;8102.22
9/1/2017;16;8244.43
9/1/2017;17;8317.04
9/1/2017;18;8461.01
9/1/2017;19;8846.66
9/1/2017;20;8898.7
9/1/2017;21;8669
9/1/2017;22;8310.04
9/1/2017;23;7753.94
9/1/2017;24;7220.55
10/1/2017;1;6560.82
10/1/2017;2;6007.43
10/1/2017;3;5880.76
10/1/2017;4;5554.4
10/1/2017;5;5546.62
10/1/2017;6;5653.71
10/1/2017;7;6107.9
10/1/2017;8;7015.34
10/1/2017;9;7637.37
10/1/2017;10;8291.05
10/1/2017;11;8760.56
10/1/2017;12;8933.66
10/1/2017;13;9059.26
10/1/2017;14;9066.93
10/1/2017;15;8780.5
10/1/2017;16;8826.41
10/1/2017;17;8758.99
10/1/2017;18;8806.72
10/1/2017;19;9150.55
10/1/2017;20;9198.85
10/1/2017;21;9033.89
10/1/2017;22;8521.44
10/1/2017;23;7739.51
10/1/2017;24;7240.09
11/1/2017;1;6550.76
11/1/2017;2;6021.92
11/1/2017;3;5906.72
11/1/2017;4;5686.43
11/1/2017;5;5555.02
11/1/2017;6;5592.35
11/1/2017;7;5948.22
11/1/2017;8;6669.21
11/1/2017;9;7247.98
11/1/2017;10;7732.84
11/1/2017;11;7942.38
11/1/2017;12;7998.28
11/1/2017;13;8018.15
11/1/2017;14;7888.7
11/1/2017;15;7597.62
11/1/2017;16;7821.05
11/1/2017;17;7915.68
11/1/2017;18;8075.21
11/1/2017;19;8551.71
11/1/2017;20;8584.9
11/1/2017;21;8400.56
11/1/2017;22;7966.73
11/1/2017;23;7363.76
11/1/2017;24;6946.61
12/1/2017;1;6413.83
12/1/2017;2;5883.28
12/1/2017;3;5768.5
12/1/2017;4;5595.47
12/1/2017;5;5466
12/1/2017;6;5510.59
12/1/2017;7;5917.92
12/1/2017;8;6756.47
12/1/2017;9;7451.4
12/1/2017;10;7995.29
12/1/2017;11;8190.47
12/1/2017;12;8248.11
12/1/2017;13;8295.81
12/1/2017;14;8211.23
12/1/2017;15;7897.78
12/1/2017;16;8058.72
12/1/2017;17;8098.6
12/1/2017;18;8169.1
12/1/2017;19;8623.36
12/1/2017;20;8663.5
12/1/2017;21;8509.01
12/1/2017;22;8019.79
12/1/2017;23;7425.35
12/1/2017;24;6974.46
13/1/2017;1;5903.15
13/1/2017;2;5385.03
13/1/2017;3;5320.78
13/1/2017;4;5150.57
13/1/2017;5;5059.65
13/1/2017;6;5161.06
13/1/2017;7;5621.08
13/1/2017;8;6516.28
13/1/2017;9;7117.49
13/1/2017;10;7550.78
13/1/2017;11;7646.2
13/1/2017;12;7671.49
13/1/2017;13;7682.18
13/1/2017;14;7641.84
13/1/2017;15;7408.91
13/1/2017;16;7545.95
13/1/2017;17;7633.24
13/1/2017;18;7822.5
13/1/2017;19;8305.64
13/1/2017;20;8339.6
13/1/2017;21;8200.85
13/1/2017;22;7638.93
13/1/2017;23;6985.68
13/1/2017;24;6493.34
14/1/2017;1;6035
14/1/2017;2;5482.14
14/1/2017;3;5419.26
14/1/2017;4;5203.81
14/1/2017;5;5024.58
14/1/2017;6;5017.27
14/1/2017;7;5202.82
14/1/2017;8;5585.91
14/1/2017;9;6079.11
14/1/2017;10;6672.95
14/1/2017;11;7012.25
14/1/2017;12;7179.64
14/1/2017;13;7229.56
14/1/2017;14;7150.04
14/1/2017;15;6802.44
14/1/2017;16;6824.05
14/1/2017;17;6917.95
14/1/2017;18;7154.3
14/1/2017;19;7698.51
14/1/2017;20;7759.58
14/1/2017;21;7600.7
14/1/2017;22;7136.43
14/1/2017;23;6662.15
14/1/2017;24;6288.14
15/1/2017;1;5875.48
15/1/2017;2;5353.89
15/1/2017;3;5309.08
15/1/2017;4;4990.44
15/1/2017;5;4796.63
15/1/2017;6;4756.52
15/1/2017;7;4886.27
15/1/2017;8;5238.89
15/1/2017;9;5571.58
15/1/2017;10;6087.28
15/1/2017;11;6551.71
15/1/2017;12;6889.4
15/1/2017;13;7019.87
15/1/2017;14;6865.7
15/1/2017;15;6396.65
15/1/2017;16;6464.77
15/1/2017;17;6577.28
15/1/2017;18;6706.74
15/1/2017;19;7408.44
15/1/2017;20;7596.1
15/1/2017;21;7562.4
15/1/2017;22;7221.52
15/1/2017;23;6698.33
15/1/2017;24;6322.62
16/1/2017;1;5573.02
16/1/2017;2;5097.29
16/1/2017;3;5069.92
16/1/2017;4;4886.01
16/1/2017;5;4764.94
16/1/2017;6;4870.52
16/1/2017;7;5361.53
16/1/2017;8;6231.18
16/1/2017;9;6815.88
16/1/2017;10;7457.6
16/1/2017;11;7715.94
16/1/2017;12;7847.69
16/1/2017;13;7979.98
16/1/2017;14;7919.78
16/1/2017;15;7641.79
16/1/2017;16;7790.44
16/1/2017;17;7761.21
16/1/2017;18;7740.69
16/1/2017;19;8188.98
16/1/2017;20;8347.56
16/1/2017;21;8221.74
16/1/2017;22;7750.24
16/1/2017;23;7094.35
16/1/2017;24;6586.69
17/1/2017;1;6018.11
17/1/2017;2;5556.82
17/1/2017;3;5479.86
17/1/2017;4;5313.98
17/1/2017;5;5213.33
17/1/2017;6;5283.62
17/1/2017;7;5669.76
17/1/2017;8;6526.6
17/1/2017;9;7131.98
17/1/2017;10;7582.33
17/1/2017;11;7653.67
17/1/2017;12;7645.48
17/1/2017;13;7679.02
17/1/2017;14;7615.41
17/1/2017;15;7310.3
17/1/2017;16;7529.55
17/1/2017;17;7672.04
17/1/2017;18;7837.28
17/1/2017;19;8255.48
17/1/2017;20;8284.96
17/1/2017;21;8120.84
17/1/2017;22;7702.78
17/1/2017;23;7058.74
17/1/2017;24;6500.31
18/1/2017;1;5761.36
18/1/2017;2;5250.23
18/1/2017;3;5216.73
18/1/2017;4;5062.72
18/1/2017;5;4989.94
18/1/2017;6;5068.05
18/1/2017;7;5569.18
18/1/2017;8;6482.06
18/1/2017;9;7066.97
18/1/2017;10;7584.94
18/1/2017;11;7818.68
18/1/2017;12;7901.81
18/1/2017;13;8002.07
18/1/2017;14;7920.34
18/1/2017;15;7602.96
18/1/2017;16;7804.75
18/1/2017;17;7817.92
18/1/2017;18;7840.98
18/1/2017;19;8145.63
18/1/2017;20;8178.5
18/1/2017;21;8059.52
18/1/2017;22;7658.79
18/1/2017;23;6955.79
18/1/2017;24;6445
19/1/2017;1;5811.01
19/1/2017;2;5287.86
19/1/2017;3;5236.39
19/1/2017;4;5063.73
19/1/2017;5;4969.56
19/1/2017;6;5087.17
19/1/2017;7;5567.24
19/1/2017;8;6473.44
19/1/2017;9;7032.38
19/1/2017;10;7600.09
19/1/2017;11;7907.98
19/1/2017;12;8062.42
19/1/2017;13;8150.46
19/1/2017;14;8109.03
19/1/2017;15;7791.71
19/1/2017;16;7906.98
19/1/2017;17;7781.11
19/1/2017;18;7809.38
19/1/2017;19;8251.92
19/1/2017;20;8310.53
19/1/2017;21;8163.06
19/1/2017;22;7629.23
19/1/2017;23;6980.03
19/1/2017;24;6499.09
20/1/2017;1;5780.84
20/1/2017;2;5265.65
20/1/2017;3;5237.36
20/1/2017;4;5078.7
20/1/2017;5;4967.09
20/1/2017;6;5055.03
20/1/2017;7;5532.33
20/1/2017;8;6417.45
20/1/2017;9;6984.92
20/1/2017;10;7467.78
20/1/2017;11;7646.54
20/1/2017;12;7717.49
20/1/2017;13;7743.28
20/1/2017;14;7702.34
20/1/2017;15;7513.13
20/1/2017;16;7701.31
20/1/2017;17;7655.33
20/1/2017;18;7714.11
20/1/2017;19;8208.45
20/1/2017;20;8261.29
20/1/2017;21;8065.15
20/1/2017;22;7556.39
20/1/2017;23;6893.6
20/1/2017;24;6418.45
21/1/2017;1;5841.17
21/1/2017;2;5303.76
21/1/2017;3;5259.35
21/1/2017;4;5024.31
21/1/2017;5;4882.08
21/1/2017;6;4881.26
21/1/2017;7;5092.96
21/1/2017;8;5502.75
21/1/2017;9;6095.8
21/1/2017;10;6682.66
21/1/2017;11;6989.46
21/1/2017;12;7102.93
21/1/2017;13;7154.36
21/1/2017;14;7096.95
21/1/2017;15;6858.63
21/1/2017;16;6976.33
21/1/2017;17;7094.17
21/1/2017;18;7228.54
21/1/2017;19;7799.1
21/1/2017;20;7885.21
21/1/2017;21;7666.77
21/1/2017;22;7180.45
21/1/2017;23;6631.66
21/1/2017;24;6248.19
22/1/2017;1;5740
22/1/2017;2;5231.46
22/1/2017;3;5207.27
22/1/2017;4;4986.72
22/1/2017;5;4805.86
22/1/2017;6;4794.25
22/1/2017;7;4960.86
22/1/2017;8;5195.93
22/1/2017;9;5597.38
22/1/2017;10;6121.65
22/1/2017;11;6613.33
22/1/2017;12;6959.85
22/1/2017;13;7136.02
22/1/2017;14;7032.76
22/1/2017;15;6604.78
22/1/2017;16;6724.54
22/1/2017;17;6760.48
22/1/2017;18;6744.4
22/1/2017;19;7378.6
22/1/2017;20;7590.96
22/1/2017;21;7533.7
22/1/2017;22;7175.22
22/1/2017;23;6682.95
22/1/2017;24;6290.17
23/1/2017;1;5622.46
23/1/2017;2;5078.46
23/1/2017;3;5062.23
23/1/2017;4;4892.15
23/1/2017;5;4783.44
23/1/2017;6;4882.06
23/1/2017;7;5424.48
23/1/2017;8;6340.1
23/1/2017;9;6904.81
23/1/2017;10;7416.59
23/1/2017;11;7502.39
23/1/2017;12;7650.16
23/1/2017;13;7723.58
23/1/2017;14;7634.19
23/1/2017;15;7478
23/1/2017;16;7684.1
23/1/2017;17;7781.68
